Country,Country Code,Region,Income Group,Year,Life Expectancy,Prevalence of Undernourishment,CO2 Emissions,Health Expenditure %,Education Expenditure %,Unemployment,Injuries,Communicable Diseases,Non Communicable Diseases,GDP (Billions),Access to clean water,Population (historical estimates)
Afghanistan,AFG,South Asia,Low income,2001,56.308,47.8,730,10.223392857,3.301719983,10.809000015,2179727.1,9689193.7,5795426.38,13.795,11.105221147,19688634
Afghanistan,AFG,South Asia,Low income,2002,56.784,45.6,1029.999971390,9.44338989,3.301719983,11.256999969,1946983.65,9858324.98,5871595.71,3.854,19.600221913,21000258
Afghanistan,AFG,South Asia,Low income,2003,57.271,40.6,1220.000028610,8.94125843,3.301719983,11.140999794,1992263.52,9157600.44,6166298.79,4.539,19.600221913,22645136
Afghanistan,AFG,South Asia,Low income,2004,57.772,38,1029.999971390,9.80847359,3.301719983,10.987999916,2050765.02,8791000.56,6315336.43,5.221,13.818683755,23553554
Afghanistan,AFG,South Asia,Low income,2005,58.29,36.1,1549.999952316,9.94828987,2.569999933,11.217000008,2157481.76,8555405.22,6353575.08,6.226,14.733852940,24411196
Afghanistan,AFG,South Asia,Low income,2006,58.826,33.3,1759.999990463,10.62276554,2.900000095,11.098999977,2353206.39,8223377.95,6340825.63,6.971,15.648426583,25442946
Afghanistan,AFG,South Asia,Low income,2007,59.375,29.8,1769.999980927,9.90467453,2.849999905,11.300999641,2500614.3,7912950.31,6337948.29,9.716,16.562523116,25903306
Afghanistan,AFG,South Asia,Low income,2008,59.93,26.5,3559.999942780,10.25649548,3.509999990,11.093000412,2451785.56,7759400.78,6334855.52,10.25,17.476010390,26427204
Afghanistan,AFG,South Asia,Low income,2009,60.484,23.3,4880.000114441,9.81848717,3.730000019,11.310999870,2397829.51,7555498.66,6346743.24,12.155,18.388884340,27385310
Afghanistan,AFG,South Asia,Low income,2010,61.028,21.2,7110.000133514,8.56967163,3.479449987,11.352000237,2498918.49,7326163.85,6443903.94,15.634,19.301139223,28189672
Afghanistan,AFG,South Asia,Low income,2011,61.553,20.2,8930.000305176,8.56190681,3.462009907,11.053999901,2540038.63,7181018.86,6539124.12,18.19,20.212884235,29249156
Afghanistan,AFG,South Asia,Low income,2012,62.054,21.1,8079.999923706,7.89717579,3.319999933,11.340999603,2715550.23,7036448.02,6640268.93,20.204,21.123996344,30466484
Afghanistan,AFG,South Asia,Low income,2013,62.525,20.7,5989.999771118,8.80594063,3.454459906,11.192999840,2807904.86,6813189.19,6799914.37,20.564,22.034469718,31541216
Afghanistan,AFG,South Asia,Low income,2014,62.966,20.7,4880.000114441,9.52887058,3.695219994,11.142000198,3267937.78,6649335.87,6900348.4,20.551,22.944300714,32716214
Afghanistan,AFG,South Asia,Low income,2015,63.377,21.5,5949.999809265,10.10534763,3.255800009,11.126999855,3673696.62,6528888.62,6988545.28,19.998,23.853589550,33753500
Afghanistan,AFG,South Asia,Low income,2016,63.763,22.2,5300.000190735,11.81856155,3.511980057,11.157999992,3994872.78,6411537.51,7138225.3,18.02,24.762220176,34636212
Afghanistan,AFG,South Asia,Low income,2017,64.13,23,4780.000209808,12.62081718,3.373310089,11.180000305,3469080.74,6301361.92,7307944.71,18.896,25.671417238,35643420
Afghanistan,AFG,South Asia,Low income,2018,64.486,24,6070.000171661,14.12674332,3.199790001,11.152000427,3639008.81,6196459.69,7433930.09,18.419,26.581314538,36686788
Afghanistan,AFG,South Asia,Low income,2019,64.833,26.9,6079.999923706,13.24220181,3.213779926,11.217000008,3481166.42,6034434.86,7601757.82,18.905,27.491734113,37769496
Albania,ALB,Europe & Central Asia,Upper middle income,2001,74.288,4.9,3230,7.13952398,3.458699942,18.575000763,117081.67,140894.78,532324.75,3.922,49.081197747,3153615
Albania,ALB,Europe & Central Asia,Upper middle income,2002,74.579,6.1,3759.999990463,6.90934134,3.117799997,17.895000458,111169.56,128986.61,544332.18,4.348,62.010691283,3123554
Albania,ALB,Europe & Central Asia,Upper middle income,2003,74.828,7.5,4070.000171661,7.06348991,3.138230085,16.989000320,106457.8,118886.92,564357.62,5.611,62.010691283,3092993
Albania,ALB,Europe & Central Asia,Upper middle income,2004,75.039,8.6,4250,6.77337217,3.227519989,16.309999466,102317.3,108336.45,570380.53,7.185,50.717677788,3062629
Albania,ALB,Europe & Central Asia,Upper middle income,2005,75.228,8.9,4030.000209808,6.33554173,3.281549931,15.970000267,94241.87,99241.18,568930.66,8.052,52.578332425,3032636
Albania,ALB,Europe & Central Asia,Upper middle income,2006,75.423,8.8,4010.000228882,6.00927734,3.191459894,15.630000114,89182.27,90917.84,557300.83,8.896,54.467082497,3003391
Albania,ALB,Europe & Central Asia,Upper middle income,2007,75.646,8.3,4139.999866486,6.31683397,3.275929928,15.970000267,86920.57,83150.85,548036.71,10.677,56.383843324,2976089
Albania,ALB,Europe & Central Asia,Upper middle income,2008,75.912,7.3,4079.999923706,5.1390624,3.347928651,13.060000420,86437.79,78053.44,555768.28,12.881,58.328478924,2951690
Albania,ALB,Europe & Central Asia,Upper middle income,2009,76.221,6.3,4219.999790192,4.6022253,3.347928651,13.670000076,80509.96,72799.63,556687.48,12.044,60.300905201,2930553
