Country,Country.Code,Region,Income.Group,Year,le,po_und,co2,hexp,edu,Unemployment,Injuries,comm_dis,non_comm_dis,gdp_bill,acc_wtr,avg_le,avg_po_und,avg_co2,avg_hexp,avg_edu,avg_comm_dis,avg_non_comm_dis,avg_gdp_bill,avg_acc_wtr,europe_region,EU_member,population
Albania,ALB,Europe & Central Asia,Upper middle income,2001,74.288,4.9,3230,7.13952398,3.458699942,18.575000763,117081.67,140894.78,532324.75,3.922,49.081197747,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,3153615
Albania,ALB,Europe & Central Asia,Upper middle income,2002,74.579,6.1,3759.999990463,6.90934134,3.117799997,17.895000458,111169.56,128986.61,544332.18,4.348,62.010691283,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,3123554
Albania,ALB,Europe & Central Asia,Upper middle income,2003,74.828,7.5,4070.000171661,7.06348991,3.138230085,16.98900032,106457.8,118886.92,564357.62,5.611,62.010691283,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,3092993
Albania,ALB,Europe & Central Asia,Upper middle income,2004,75.039,8.6,4250,6.77337217,3.227519989,16.309999466,102317.3,108336.45,570380.53,7.185,50.717677788,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,3062629
Albania,ALB,Europe & Central Asia,Upper middle income,2005,75.228,8.9,4030.000209808,6.33554173,3.281549931,15.970000267,94241.87,99241.18,568930.66,8.052,52.578332425,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,3032636
Albania,ALB,Europe & Central Asia,Upper middle income,2006,75.423,8.8,4010.000228882,6.00927734,3.191459894,15.630000114,89182.27,90917.84,557300.83,8.896,54.467082497,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,3003391
Albania,ALB,Europe & Central Asia,Upper middle income,2007,75.646,8.3,4139.999866486,6.31683397,3.275929928,15.970000267,86920.57,83150.85,548036.71,10.677,56.383843324,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2976089
Albania,ALB,Europe & Central Asia,Upper middle income,2008,75.912,7.3,4079.999923706,5.1390624,3.347928651,13.06000042,86437.79,78053.44,555768.28,12.881,58.328478924,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2951690
Albania,ALB,Europe & Central Asia,Upper middle income,2009,76.221,6.3,4219.999790192,4.6022253,3.347928651,13.670000076,80509.96,72799.63,556687.48,12.044,60.300905201,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2930553
Albania,ALB,Europe & Central Asia,Upper middle income,2010,76.562,5.8,4449.999809265,4.7457962,3.347928651,14.090000153,81439.75,68800.04,560636.42,11.927,62.30063019,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2913402
Albania,ALB,Europe & Central Asia,Upper middle income,2011,76.914,5.4,4849.999904633,4.79534149,3.079999924,13.479999542,80572.2,66856.83,571613.21,12.891,64.327402608,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2900660
Albania,ALB,Europe & Central Asia,Upper middle income,2012,77.252,5.1,4360.000133514,5.05526543,2.930000067,13.380000114,80941.92,64252.13,578042.75,12.32,66.380852035,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2892191
Albania,ALB,Europe & Central Asia,Upper middle income,2013,77.554,5,4440.00005722,5.38561106,3.539299965,15.869999886,79780.26,61591.37,584989.5,12.776,68.459832807,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2887019
Albania,ALB,Europe & Central Asia,Upper middle income,2014,77.813,5,4820.000171661,5.50347328,3.049999952,18.049999237,80269.4,59159.9,595449.46,13.228,70.563261019,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2884100
Albania,ALB,Europe & Central Asia,Upper middle income,2015,78.025,4.9,4619.999885559,4.89631176,3.437969923,17.190000534,80908.83,57284.75,607281.32,11.387,70.591969886,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2882482
Albania,ALB,Europe & Central Asia,Upper middle income,2016,78.194,4.7,4480.000019073,4.91601658,3.962090015,15.420000076,81528.11,55750.85,614034.75,11.861,70.616507855,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2881064
Albania,ALB,Europe & Central Asia,Upper middle income,2017,78.333,4.7,5139.999866486,5.01263571,3.611730099,13.619999886,81733.67,54297.2,619848.51,13.02,70.63694159,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2879361
Albania,ALB,Europe & Central Asia,Upper middle income,2018,78.458,4.6,5110.000133514,5.23207188,3.347928651,12.300000191,80863.83,53068.75,625477.23,15.156,70.653351623,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2877019
Albania,ALB,Europe & Central Asia,Upper middle income,2019,78.573,4.3,4829.999923706,5.657288418,3.916650057,11.470000267,82288.1,51797.42,631629.88,15.402,70.665855005,76.570631579,6.115789474,4362.631583465,5.657288418,3.34792865115789,79690.891578947,578269.582631579,10.714947368,62.688184478,Central and Eastern Europe,0,2873883
Armenia,ARM,Europe & Central Asia,Upper middle income,2001,71.8,26.1,3600,4.64562702,2.469439983,10.911999702,103371.75,122238.13,767916.19,2.118,82.458618692,73.472736842,8.252631579,4840.526322315,8.305677238,2.72887372963158,91350.347894737,784318.087368421,8.585947368,83.027114481,Central and Eastern Europe,0,3133138
Armenia,ARM,Europe & Central Asia,Upper middle income,2002,72.112,24.5,3119.999885559,7.61359835,2.135040045,10.776000023,98830.06,115370.74,774712.2,2.376,82.993294725,73.472736842,8.252631579,4840.526322315,8.305677238,2.72887372963158,91350.347894737,784318.087368421,8.585947368,83.027114481,Central and Eastern Europe,0,3105040
Armenia,ARM,Europe & Central Asia,Upper middle income,2003,72.348,21.1,3500,7.17937517,2.145040035,10.593999863,94756.4,110954.82,784556.42,2.807,82.993294725,73.472736842,8.252631579,4840.526322315,8.305677238,2.72887372963158,91350.347894737,784318.087368421,8.585947368,83.027114481,Central and Eastern Europe,0,3084107
Armenia,ARM,Europe & Central Asia,Upper middle income,2004,72.513,16,3759.999990463,6.05508518,2.486730099,10.343999863,92640.12,107986.46,783356.25,3.577,82.810559451,73.472736842,8.252631579,4840.526322315,8.305677238,2.72887372963158,91350.347894737,784318.087368421,8.585947368,83.027114481,Central and Eastern Europe,0,3065748
Armenia,ARM,Europe & Central Asia,Upper middle income,2005,72.626,12.3,4460.000038147,5.86188269,2.712029934,10.203000069,92659.79,105444.38,793047.77,4.9,82.929755861,73.472736842,8.252631579,4840.526322315,8.305677238,2.72887372963158,91350.347894737,784318.087368421,8.585947368,83.027114481,Central and Eastern Europe,0,3047254
Armenia,ARM,Europe & Central Asia,Upper middle income,2006,72.716,9.3,4489.999771118,5.85007095,2.715770006,9.996999741,93356.64,104959.6,802931.28,6.384,83.049566319,73.472736842,8.252631579,4840.526322315,8.305677238,2.72887372963158,91350.347894737,784318.087368421,8.585947368,83.027114481,Central and Eastern Europe,0,3026490
